--------> Aur packages <-------

a52dec 0.8.0-2
abseil-cpp 20230802.1-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.13.0-2
alsa-lib 1.2.10-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
android-studio 2023.1.1.26-1
android-tools 34.0.4-3
android-udev 20231124-1
antlr4-runtime 4.13.1-1
aom 3.8.0-2
arandr 0.1.11-2
archlinux-keyring 20231222-1
argon2 20190702-5
aribb24 1.0.3-3
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
aws-cli 1.31.13-1
ayatana-ido 0.10.1-1
base 3-2
bash 5.2.021-1
bc 1.07.1-4
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
bleachbit 4.6.0-1
bluez 5.71-3
bluez-libs 5.71-3
bluez-utils 5.71-3
boost-libs 1.83.0-4
box2d 2.4.1-2
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.1.0-1
btrfs-progs 6.6.3-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.24.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cbatticon 1.6.13-1
clang 16.0.6-1
clucene 2.3.3.4-14
cmake 3.28.1-1
cmatrix 2.0-2
compiler-rt 16.0.6-2
containerd 1.7.11-1
coreutils 9.4-2
cppdap 1.58.0-1
cryptsetup 2.6.1-3
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbeaver 23.3.1-1
dbus 1.14.10-1
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dhcpcd 10.0.6-1
dialog 1:1.3_20231002-1
diffutils 3.10-1
djvulibre 3.5.28-5
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docker 1:24.0.7-1
dosfstools 4.2-3
double-conversion 3.3.0-1
duktape 2.7.0-6
e2fsprogs 1.47.0-1
efibootmgr 18-2
efivar 38-3
electron 1:25-1
electron22 22.3.27-3
electron25 25.9.6-1
enchant 2.6.4-2
exiv2 0.28.1-1
expat 2.5.0-1
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.32.2-1
feh 3.10.2-1
ffmpeg 2:6.1-3
ffmpeg4.4 4.4.4-3
fftw 3.3.10-4
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 121.0-1
fish 3.6.4-1
flac 1.4.3-1
flameshot 12.1.0-3
flex 2.6.4-5
flutter 3.16.3-1
fontconfig 2:2.15.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
